NumberOfMonths,Artist,Album,SongName,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,July 2023,LongestStreak,CurrentStreak
6,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Archetype,Archetype,Archetype,Archetype,Archetype,Archetype,6,6
8,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Athena,Athena,Athena,Athena,Athena,Athena,Athena,Athena,NA,8,0
25,11,Hozier,Hozier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cherry Wine,Cherry Wine,Cherry Wine,Cherry Wine,Cherry Wine,Cherry Wine,Cherry Wine,Cherry Wine,Cherry Wine,Cherry Wine,Cherry Wine,NA,NA,Cherry Wine,Cherry Wine,Cherry Wine,NA,Cherry Wine,Cherry Wine,Cherry Wine,NA,NA,Cherry Wine,NA,NA,NA,Cherry Wine,Cherry Wine,Cherry Wine,Cherry Wine,Cherry Wine,NA,Cherry Wine,Cherry Wine,11,2
24,12,Taylor Swift,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Clean,Clean,Clean,Clean,Clean,Clean,Clean,Clean,Clean,Clean,Clean,Clean,NA,NA,Clean,Clean,NA,Clean,Clean,NA,Clean,NA,NA,NA,NA,NA,NA,Clean,Clean,Clean,NA,Clean,Clean,Clean,Clean,12,4
8,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,curious/furious,curious/furious,curious/furious,curious/furious,curious/furious,NA,curious/furious,curious/furious,curious/furious,5,3
18,11,Robyn,"Body Talk, Pt. 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dancing On My Own - Radio Version,Dancing On My Own - Radio Version,Dancing On My Own - Radio Version,Dancing On My Own - Radio Version,Dancing On My Own - Radio Version,Dancing On My Own - Radio Version,Dancing On My Own - Radio Version,Dancing On My Own - Radio Version,Dancing On My Own - Radio Version,Dancing On My Own - Radio Version,Dancing On My Own - Radio Version,Dancing On My Own - Radio Version,Dancing On My Own - Radio Version,NA,Dancing On My Own - Radio Version,Dancing On My Own - Radio Version,Dancing On My Own - Radio Version,Dancing On My Own - Radio Version,Dancing On My Own - Radio Version,13,5
12,5,LÉON,Circles [3],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fade Into A Dream,Fade Into A Dream,Fade Into A Dream,Fade Into A Dream,Fade Into A Dream,Fade Into A Dream,Fade Into A Dream,NA,Fade Into A Dream,Fade Into A Dream,Fade Into A Dream,Fade Into A Dream,Fade Into A Dream,7,5
8,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Faint of Heart,Faint of Heart,Faint of Heart,NA,Faint of Heart,Faint of Heart,Faint of Heart,Faint of Heart,Faint of Heart,5,5
6,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fast Times,Fast Times,Fast Times,Fast Times,Fast Times,Fast Times,6,6
11,4,Olivia Rodrigo,Sour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favorite crime,favorite crime,favorite crime,favorite crime,favorite crime,favorite crime,NA,favorite crime,favorite crime,favorite crime,favorite crime,favorite crime,6,5
10,4,Olivia Rodrigo,Sour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,good 4 u,good 4 u,good 4 u,good 4 u,NA,good 4 u,good 4 u,good 4 u,good 4 u,good 4 u,NA,good 4 u,5,1
15,6,Matt Maeson,Bank on the Funeral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hallucinogenics,Hallucinogenics,Hallucinogenics,Hallucinogenics,Hallucinogenics,Hallucinogenics,NA,NA,Hallucinogenics,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hallucinogenics,NA,NA,NA,NA,NA,NA,Hallucinogenics,NA,Hallucinogenics,Hallucinogenics,Hallucinogenics,Hallucinogenics,Hallucinogenics,Hallucinogenics,6,6
6,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I Think About You All the Time,I Think About You All the Time,I Think About You All the Time,I Think About You All the Time,I Think About You All the Time,I Think About You All the Time,6,6
8,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,i-70,i-70,i-70,i-70,i-70,i-70,NA,i-70,i-70,6,2
6,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kamikaze,Kamikaze,Kamikaze,Kamikaze,Kamikaze,Kamikaze,6,6
6,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kill Bill,Kill Bill,Kill Bill,Kill Bill,Kill Bill,Kill Bill,6,6
6,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Last Summer,NA,Last Summer,Last Summer,Last Summer,Last Summer,Last Summer,5,5
6,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,london,NA,london,london,london,london,london,5,5
30,14,Rihanna,ANTI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Love on the Brain,Love on the Brain,Love on the Brain,Love on the Brain,Love on the Brain,Love on the Brain,Love on the Brain,Love on the Brain,Love on the Brain,Love on the Brain,Love on the Brain,Love on the Brain,Love on the Brain,Love on the Brain,NA,Love on the Brain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Love on the Brain,Love on the Brain,Love on the Brain,Love on the Brain,Love on the Brain,Love on the Brain,NA,Love on the Brain,NA,Love on the Brain,NA,NA,NA,NA,NA,NA,Love on the Brain,NA,Love on the Brain,NA,Love on the Brain,Love on the Brain,Love on the Brain,Love on the Brain,Love on the Brain,14,5
7,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Malibu,Malibu,Malibu,Malibu,Malibu,NA,Malibu,Malibu,5,2
8,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ninety,Ninety,Ninety,Ninety,Ninety,Ninety,Ninety,Ninety,NA,8,0
6,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nobody Gets Me,Nobody Gets Me,Nobody Gets Me,Nobody Gets Me,Nobody Gets Me,Nobody Gets Me,6,6
12,6,ella jane,THIS IS NOT WHAT IT LOOKS LIKE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nothing else i could do,nothing else i could do,nothing else i could do,nothing else i could do,nothing else i could do,nothing else i could do,NA,nothing else i could do,NA,nothing else i could do,nothing else i could do,nothing else i could do,nothing else i could do,nothing else i could do,6,5
6,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Only When I Look into Your Eyes,Only When I Look into Your Eyes,Only When I Look into Your Eyes,Only When I Look into Your Eyes,NA,Only When I Look into Your Eyes,Only When I Look into Your Eyes,4,2
6,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantum Physics,Quantum Physics,Quantum Physics,Quantum Physics,Quantum Physics,Quantum Physics,NA,6,0
6,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shivers – Acoustic Version,Shivers – Acoustic Version,Shivers – Acoustic Version,Shivers – Acoustic Version,Shivers – Acoustic Version,Shivers – Acoustic Version,6,6
6,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shrike,Shrike,Shrike,Shrike,Shrike,Shrike,6,6
11,4,Greyson Chance,portraits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shut up [2],shut up [2],shut up [2],shut up [2],shut up [2],shut up [2],shut up [2],shut up [2],shut up [2],shut up [2],shut up [2],NA,11,0
14,7,Ivy Mono,Stars Are Blind - Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stars Are Blind,Stars Are Blind,Stars Are Blind,Stars Are Blind,Stars Are Blind,Stars Are Blind,Stars Are Blind,Stars Are Blind,Stars Are Blind,Stars Are Blind,Stars Are Blind,Stars Are Blind,Stars Are Blind,NA,Stars Are Blind,13,1
11,4,Noah Kahan,Stick Season - Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stick Season,Stick Season,Stick Season,Stick Season,Stick Season,Stick Season,Stick Season,Stick Season,Stick Season,Stick Season,Stick Season,NA,11,0
15,8,Jaden,ERYS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Summertime in Paris (feat. Willow),Summertime in Paris (feat. Willow),Summertime in Paris (feat. Willow),Summertime in Paris (feat. Willow),Summertime in Paris (feat. Willow),Summertime in Paris (feat. Willow),Summertime in Paris (feat. Willow),Summertime in Paris (feat. Willow),Summertime in Paris (feat. Willow),Summertime in Paris (feat. Willow),Summertime in Paris (feat. Willow),Summertime in Paris (feat. Willow),Summertime in Paris (feat. Willow),Summertime in Paris (feat. Willow),Summertime in Paris (feat. Willow),NA,15,0
51,44,LÉON,Surround Me - EP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,NA,Surround Me,Surround Me,Surround Me,Surround Me,47,4
8,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,What If I Love You,What If I Love You,What If I Love You,What If I Love You,What If I Love You,What If I Love You,What If I Love You,What If I Love You,NA,8,0
7,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"You're on Your Own, Kid","You're on Your Own, Kid",NA,"You're on Your Own, Kid","You're On Your Own, Kid","You're On Your Own, Kid","You're On Your Own, Kid","You're On Your Own, Kid",5,5
29,11,Dominic Fike,"Don't Forget About Me, Demos - EP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 Nights,3 Nights,3 Nights,3 Nights,3 Nights,3 Nights,3 Nights,3 Nights,3 Nights,3 Nights,3 Nights,NA,3 Nights,3 Nights,3 Nights,3 Nights,NA,3 Nights,3 Nights,NA,3 Nights,NA,NA,NA,3 Nights,3 Nights,NA,NA,3 Nights,NA,3 Nights,3 Nights,3 Nights,NA,NA,NA,3 Nights,3 Nights,3 Nights,3 Nights,3 Nights,NA,NA,11,0
5,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,August is a Fever,August is a Fever,August is a Fever,August is a Fever,August is a Fever,5,5
5,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Babydoll,Babydoll,Babydoll,Babydoll,Babydoll,5,5
10,4,Omar Apollo,Ivory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bad Life (feat. Kali Uchis),Bad Life (feat. Kali Uchis),Bad Life (feat. Kali Uchis),Bad Life (feat. Kali Uchis),Bad Life (feat. Kali Uchis),Bad Life (feat. Kali Uchis),Bad Life (feat. Kali Uchis),Bad Life (feat. Kali Uchis),Bad Life (feat. Kali Uchis),Bad Life (feat. Kali Uchis),NA,NA,10,0
10,4,Khalid,Free Spirit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Better [2],Better [2],Better [2],Better [2],Better [2],Better [2],Better [2],Better [2],Better [2],Better [2],NA,NA,10,0
